customer_id,customer_name,province,amount,note
599,  duong ngoc an ,HoChiMinh,827850,khach quen
600,Phan Thanh Phuc ,KhanhHoa,1884266,
602,vu  minh   phuc,DaNang,515134,moi dang ky
615,Vu Quoc Dung ,NgheAn,416060,
626,Vu Ngoc Oanh ,HaNoi,271203,moi dang ky
627,LY QUOC QUYEN,NgheAn,1299963,VIP tiem nang
643,PHAM MINH OANH,DaNang,7269322,VIP tiem nang
663,Le Ngoc Em ,NgheAn,565885,moi dang ky
673,NGO MINH EM,HaNoi,555349,
675,le  minh   binh,DongNai,383797,
682,  duong thanh son ,DaNang,298609,
687,TRINH NGOC EM,BinhDuong,737966,moi dang ky
695,tran  duc   phuong,DaNang,17486463,
709,LY VAN BINH,DongNai,726807,
717,CAO NGOC GIANG,DaNang,10981865,VIP tiem nang
722,pham  duc   oanh,NgheAn,2643814,
726,bui duc phuong,DongNai,391273,moi dang ky
752,le  minh   ich,CanTho,13402367,VIP tiem nang
755,Hoang Duc Xuan ,CanTho,730980,
757,Dang Quoc Viet ,HoChiMinh,2439593,VIP tiem nang
760,Vu Minh Cuong ,DongNai,2860355,khach quen
807,do  duc   an,DongNai,578131,can cham soc
814,phan  thanh   viet,HaNoi,394877,can cham soc
830,  ly ngoc nam ,DaNang,8316939,
833,trinh van quyen,BinhDuong,3271529,khach quen
837,bui quoc long,DaNang,2526791,can cham soc
861,  dang ngoc giang ,HaiPhong,290481,moi dang ky
881,pham thanh khanh,HaNoi,2527148,khach quen
885,  cao minh viet ,HoChiMinh,267119,VIP tiem nang
890,bui  thanh   phuc,KhanhHoa,1565861,VIP tiem nang
910,LUU VAN XUAN,HaNoi,279700,
918,Nguyen Thi Viet ,HaiPhong,641730,
959,VU QUOC PHUONG,BinhDuong,10831200,khach quen
967,Ngo Huu Xuan ,KhanhHoa,1864028,moi dang ky
975,cao minh cuong,BinhDuong,583878,VIP tiem nang
1007,PHAM DUC BINH,KhanhHoa,253858,
1008,ngo  quoc   yen,HaNoi,8945911,
1017,hoang minh ich,HaiPhong,363605,moi dang ky
1020,Hoang Duc Binh ,HaiPhong,750871,moi dang ky
1024,dang thi khanh,BinhDuong,460648,moi dang ky
1026,tran van phuong,HaiPhong,6310867,
1027,Cao Ngoc Hoa ,DongNai,2431255,can cham soc
1050,phan  thanh   quyen,HaNoi,18130051,khach quen
1056,ta  quoc   uyen,DongNai,2454585,can cham soc
1058,VO THANH YEN,CanTho,432601,moi dang ky
1059,nguyen  thanh   ich,HaNoi,638851,moi dang ky
1076,  cao ngoc an ,DongNai,467870,can cham soc
1090,LY THANH LONG,NgheAn,1808240,VIP tiem nang
1092,tran minh an,HoChiMinh,609527,VIP tiem nang
1111,Bui Duc Em ,HaiPhong,539815,khach quen
1122,LE THI MAI,KhanhHoa,556580,moi dang ky
1140,DANG QUOC VIET,CanTho,691350,
1143,  ta huu quyen ,DaNang,763611,moi dang ky
1150,PHAM VAN SON,DongNai,2987157,VIP tiem nang
1151,ta  duc   cuong,HoChiMinh,311281,moi dang ky
1184,Ta Quoc Em ,DongNai,3833994,moi dang ky
1207,luu  thanh   xuan,HaiPhong,812213,VIP tiem nang
1221,Ly Thi Son ,NgheAn,11562585,
1224,VO VAN EM,KhanhHoa,2630692,
1232,ngo thanh xuan,KhanhHoa,5533587,
1249,VO VAN EM,HoChiMinh,259391,khach quen
1259,nguyen minh ich,HaNoi,17251524,
1266,  dang duc phuc ,HoChiMinh,676694,khach quen
1270,  dang duc son ,HaNoi,3436397,khach quen
1279,PHAM VAN HOA,NgheAn,761775,moi dang ky
1282,  pham thi viet ,KhanhHoa,1992997,
1283,  ngo thi nam ,BinhDuong,582209,khach quen
1288,trinh huu giang,DongNai,3974151,VIP tiem nang
1297,Ngo Minh Hoa ,DaNang,885017,
1324,le thi mai,HoChiMinh,12514063,
1332,Dang Quoc Long ,KhanhHoa,238158,VIP tiem nang
1344,HOANG THI KHANH,HoChiMinh,4163103,can cham soc
1352,do duc mai,DongNai,673213,
1364,ngo thanh nam,BinhDuong,441620,VIP tiem nang
1372,  ngo quoc khanh ,KhanhHoa,817870,khach quen
1374,  phan thi yen ,HaNoi,524992,can cham soc
1376,HOANG QUOC VIET,HaNoi,7350999,khach quen
1430,Tran Minh Mai ,HoChiMinh,14362424,moi dang ky
1465,Cao Thanh Viet ,BinhDuong,803379,
1468,nguyen  minh   giang,BinhDuong,636738,VIP tiem nang
1484,Ly Thi Phuc ,HoChiMinh,272321,khach quen
1494,cao  minh   binh,CanTho,3494148,
1505,DUONG HUU AN,DaNang,5712412,VIP tiem nang
1506,  ngo thi son ,NgheAn,8096228,
1510,  le huu hoa ,HoChiMinh,1341565,khach quen
1515,Ngo Minh Son ,NgheAn,458504,moi dang ky
1524,vo van phuc,ThanhHoa,19413417,khach quen
1527,bui thanh phuc,DongNai,4043597,VIP tiem nang
1532,BUI MINH HOA,DaNang,780323,VIP tiem nang
1534,Vo Ngoc Long ,HoChiMinh,13769623,moi dang ky
1542,CAO QUOC BINH,KhanhHoa,679467,moi dang ky
1545,hoang van phuong,ThanhHoa,658082,moi dang ky
1563,pham thi viet,NgheAn,1225401,
1569,  do minh phuong ,KhanhHoa,535544,
1573,vo van an,DongNai,8067342,VIP tiem nang
1575,DANG QUOC PHUC,HaNoi,12895032,moi dang ky
1581,vo  van   phuong,HaiPhong,266945,moi dang ky
1582,vo thanh quyen,DongNai,1048611,VIP tiem nang
1609,PHAN DUC PHUONG,HaiPhong,1290767,
1612,vu ngoc oanh,HoChiMinh,18069185,VIP tiem nang
1640,phan ngoc phuc,CanTho,326874,can cham soc
1641,le  quoc   son,CanTho,567240,moi dang ky
1649,cao huu binh,DaNang,377711,
1656,NGUYEN THI CUONG,HoChiMinh,16233837,
1658,LE DUC UYEN,DaNang,733926,
1663,DUONG THI CUONG,NgheAn,367593,moi dang ky
1669,  nguyen duc mai ,HoChiMinh,338627,VIP tiem nang
1679,phan thanh nam,DaNang,3083480,
1689,VO THANH BINH,BinhDuong,590664,moi dang ky
1694,phan van viet,DaNang,1858175,can cham soc
1699,duong duc em,HaiPhong,650756,
1725,phan  quoc   son,KhanhHoa,3158659,khach quen
1726,PHAN DUC PHUC,BinhDuong,455615,
1728,bui thi oanh,ThanhHoa,230490,can cham soc
1753,TRINH VAN DUNG,DongNai,2247106,khach quen
1756,  bui ngoc oanh ,CanTho,362711,khach quen
1761,vu ngoc cuong,BinhDuong,3085292,
1774,Le Thanh Uyen ,KhanhHoa,665481,moi dang ky
1787,  dang huu phuong ,CanTho,14311595,
1813,Ly Quoc Long ,NgheAn,712931,khach quen
1851,vo ngoc khanh,CanTho,1051769,
1864,CAO DUC HOA,CanTho,13162216,VIP tiem nang
1886,VU VAN EM,CanTho,2335851,can cham soc
1922,  le thi son ,KhanhHoa,686959,VIP tiem nang
1936,phan ngoc uyen,HaiPhong,9023568,khach quen
1954,dang minh viet,DaNang,2605889,moi dang ky
1958,  tran huu quyen ,HaNoi,375307,VIP tiem nang
1973,  trinh duc khanh ,DongNai,825884,khach quen
1988,Luu Huu Khanh ,HaiPhong,296339,VIP tiem nang
2004,NGO HUU EM,DaNang,1076666,
2020,  do van hoa ,HaNoi,1055078,VIP tiem nang
2032,Ngo Quoc Tam ,DongNai,775851,
2039,Vu Quoc Quyen ,DongNai,3490271,moi dang ky
2044,le thi cuong,HaiPhong,655258,VIP tiem nang
2050,vo quoc an,KhanhHoa,698321,khach quen
2054,  do minh giang ,HaNoi,12911609,can cham soc
2065,le huu em,KhanhHoa,320802,khach quen
2070,Phan Minh Cuong ,HoChiMinh,764285,VIP tiem nang
2075,Phan Thi Giang ,HoChiMinh,14795217,
2089,bui thi oanh,CanTho,366622,
2090,le  minh   long,CanTho,830141,
2115,Le Thanh Phuong ,HaiPhong,274605,
2121,duong quoc yen,DongNai,13159573,can cham soc
2122,  luu thi giang ,KhanhHoa,11861159,moi dang ky
2128,VO THI TAM,DaNang,2974227,moi dang ky
2147,  ly thi an ,CanTho,2975547,can cham soc
2160,HOANG MINH DUNG,BinhDuong,757420,
2162,tran  duc   viet,ThanhHoa,4425931,
2171,dang  duc   tam,DaNang,6514685,
2188,phan  duc   an,NgheAn,238700,
2189,do thanh mai,CanTho,413538,khach quen
2203,NGUYEN THANH OANH,HaiPhong,521559,VIP tiem nang
2216,  duong minh giang ,HaNoi,5263598,khach quen
2233,  ta ngoc an ,KhanhHoa,807457,VIP tiem nang
2235,nguyen  thi   phuc,KhanhHoa,830084,moi dang ky
2236,trinh  thi   giang,DaNang,1396215,can cham soc
2249,PHAN HUU YEN,BinhDuong,3320280,
2261,ly  duc   ich,DongNai,859849,VIP tiem nang
2285,CAO HUU BINH,BinhDuong,232634,can cham soc
2289,NGO MINH GIANG,ThanhHoa,10643543,VIP tiem nang
2292,PHAM VAN CUONG,ThanhHoa,455194,VIP tiem nang
2298,ly  quoc   viet,HaiPhong,2093239,khach quen
2304,duong  ngoc   oanh,DaNang,4295211,VIP tiem nang
2308,pham  thanh   binh,CanTho,10909252,VIP tiem nang
2328,VU THI LONG,DongNai,3531615,
2334,  hoang van yen ,ThanhHoa,10432698,
2335,hoang thi dung,DongNai,12397643,
2336,Vu Ngoc Em ,KhanhHoa,1994275,can cham soc
2343,ngo thi an,BinhDuong,226259,
2360,  pham minh phuc ,DongNai,403780,can cham soc
2361,ngo  minh   tam,DongNai,466101,
2377,  dang ngoc hoa ,BinhDuong,427196,
2412,ly quoc son,HaiPhong,7528449,
2419,Ta Quoc Oanh ,HaNoi,688674,khach quen
2422,dang minh quyen,DaNang,1938596,
2430,  duong duc an ,BinhDuong,228502,
2447,tran  minh   quyen,HoChiMinh,2321578,khach quen
2470,NGO HUU CUONG,NgheAn,3081775,
2474,BUI HUU BINH,NgheAn,681572,
2480,Pham Duc Phuc ,ThanhHoa,245101,VIP tiem nang
2497,phan  minh   binh,NgheAn,453291,VIP tiem nang
2529,vu  duc   tam,DaNang,587003,VIP tiem nang
2538,ta  quoc   dung,HaNoi,1288578,
2549,ta  quoc   tam,DaNang,770031,khach quen
2558,LY HUU EM,CanTho,3006009,moi dang ky
2560,  ta thanh viet ,DongNai,580399,
2564,do  minh   giang,BinhDuong,2701870,moi dang ky
2566,ta  quoc   phuong,HaiPhong,2732688,moi dang ky
2577,tran  thanh   binh,KhanhHoa,525074,moi dang ky
2594,Duong Duc Phuc ,HaiPhong,4075181,khach quen
2601,Le Van Xuan ,BinhDuong,2637644,
2609,Duong Huu Son ,NgheAn,4060205,
2633,ngo  quoc   tam,CanTho,614360,
2644,cao  duc   binh,DaNang,849624,
2645,ly  duc   an,ThanhHoa,3962981,can cham soc
2649,TRAN QUOC OANH,HoChiMinh,2839920,khach quen
2651,Vo Quoc Long ,HaiPhong,19838991,can cham soc
2659,Pham Ngoc Nam ,DongNai,877411,
2679,Phan Quoc Khanh ,ThanhHoa,2906716,VIP tiem nang
2690,NGO MINH KHANH,CanTho,332372,
2694,phan  van   ich,BinhDuong,596738,
2705,HOANG MINH YEN,HaiPhong,681605,
2706,  ta thanh phuong ,HaNoi,1272720,
2710,  ly minh tam ,KhanhHoa,519502,moi dang ky
2727,Luu Quoc Hoa ,HaiPhong,571655,can cham soc
2736,LE NGOC GIANG,DaNang,641974,VIP tiem nang
2741,Ly Van An ,BinhDuong,3888431,
2742,hoang thi xuan,CanTho,843994,
2757,  bui ngoc cuong ,ThanhHoa,823810,khach quen
2770,NGO HUU QUYEN,HoChiMinh,603202,VIP tiem nang
2779,vo  quoc   phuc,CanTho,3425801,can cham soc
2790,Vu Van Ich ,BinhDuong,351729,moi dang ky
2793,tran duc uyen,NgheAn,14710607,khach quen
2799,ly  van   nam,BinhDuong,3495408,khach quen
2800,Trinh Minh An ,HoChiMinh,6366349,
2801,TRINH VAN PHUONG,HaNoi,4318433,
2803,duong  ngoc   viet,KhanhHoa,829258,moi dang ky
2806,VO VAN EM,ThanhHoa,201658,
2819,  vu quoc uyen ,DongNai,18832085,VIP tiem nang
2824,vo  ngoc   cuong,HaNoi,3162892,
2847,Duong Minh Mai ,HaNoi,275463,can cham soc
2851,VO THANH LONG,DongNai,816532,VIP tiem nang
2861,tran  thanh   xuan,HaiPhong,2613857,
2865,le  minh   son,KhanhHoa,840705,
2871,cao quoc phuong,HaNoi,1665120,
2872,ngo  van   hoa,HoChiMinh,605582,can cham soc
2874,DANG QUOC SON,NgheAn,18984411,khach quen
2877,do van yen,HoChiMinh,14855163,
2898,  bui thanh khanh ,HaNoi,1677720,moi dang ky
2911,luu thanh long,HoChiMinh,530887,can cham soc
2913,duong ngoc uyen,DaNang,478788,moi dang ky
2914,  bui minh uyen ,DongNai,401916,
2915,ngo  thanh   phuong,HoChiMinh,3608639,moi dang ky
2925,  vu ngoc quyen ,NgheAn,2441997,
2932,TRAN QUOC PHUONG,CanTho,2153404,
2933,le quoc giang,CanTho,580483,moi dang ky
2955,ngo thanh hoa,NgheAn,8543366,
2958,NGUYEN QUOC QUYEN,HoChiMinh,4273071,
2974,  tran ngoc yen ,NgheAn,531894,khach quen
2979,vu  thi   phuong,KhanhHoa,495674,can cham soc
2991,BUI THI EM,DaNang,3181800,khach quen
3004,hoang thanh cuong,ThanhHoa,292288,VIP tiem nang
3006,Cao Quoc Son ,CanTho,412238,VIP tiem nang
3019,cao thanh khanh,KhanhHoa,573104,
3027,vo minh cuong,CanTho,1078482,khach quen
3039,HOANG THI EM,KhanhHoa,10336584,moi dang ky
3056,Hoang Thi Quyen ,BinhDuong,10270834,VIP tiem nang
3064,Tran Quoc Phuong ,HaNoi,622632,khach quen
3066,Vo Thi Hoa ,HaiPhong,415139,
3081,Do Van Khanh ,ThanhHoa,773388,
3118,trinh  minh   yen,HoChiMinh,828559,
3128,ta  quoc   son,HoChiMinh,757709,khach quen
3136,Duong Thi Son ,KhanhHoa,332917,VIP tiem nang
3151,phan minh giang,HoChiMinh,3050989,
3152,  dang duc tam ,NgheAn,3778228,khach quen
3162,  nguyen minh binh ,HaNoi,1837874,
3168,trinh van dung,NgheAn,2293198,
3171,  ngo minh tam ,BinhDuong,417223,khach quen
3173,  phan minh em ,HaNoi,571989,VIP tiem nang
3174,TRINH VAN ICH,HaiPhong,865673,can cham soc
3179,  do ngoc khanh ,DaNang,16932675,khach quen
3193,phan quoc phuong,HaiPhong,244480,moi dang ky
3201,tran minh uyen,HoChiMinh,483263,
3202,TRAN HUU LONG,HaiPhong,313766,khach quen
3206,ngo quoc ich,BinhDuong,612384,can cham soc
3208,  phan huu son ,DaNang,360233,khach quen
3222,ngo duc son,KhanhHoa,345842,moi dang ky
3224,bui minh em,ThanhHoa,1543561,
3226,  do quoc oanh ,CanTho,375297,can cham soc
3231,le  duc   yen,DongNai,600065,
3235,Do Van Oanh ,BinhDuong,12048374,khach quen
3258,Tran Huu Oanh ,DaNang,16003865,
3265,DANG HUU CUONG,CanTho,784073,
3276,hoang quoc tam,ThanhHoa,860418,moi dang ky
3282,DANG MINH QUYEN,ThanhHoa,435833,moi dang ky
3293,Do Van Xuan ,HaiPhong,733138,VIP tiem nang
3323,  ta huu xuan ,HaNoi,231564,can cham soc
3336,ly duc tam,NgheAn,3833827,moi dang ky
3339,NGUYEN THI CUONG,HaNoi,3405941,khach quen
3354,Le Thanh Son ,KhanhHoa,421907,
3363,LUU THI ICH,HaNoi,2498324,khach quen
3368,LY NGOC OANH,CanTho,1067229,khach quen
3369,ta van ich,HaNoi,603830,
3374,  vo duc dung ,HoChiMinh,788578,VIP tiem nang
3381,VU VAN LONG,CanTho,17090495,VIP tiem nang
3382,  pham van binh ,NgheAn,289442,can cham soc
3385,nguyen van nam,BinhDuong,5851737,VIP tiem nang
3390,VU THI UYEN,DongNai,2161144,VIP tiem nang
3399,ly  thi   hoa,KhanhHoa,206622,khach quen
3403,  le van long ,KhanhHoa,618334,
3405,  tran quoc binh ,HaiPhong,260144,
3406,NGUYEN THI VIET,KhanhHoa,782481,can cham soc
3411,  trinh thanh giang ,HoChiMinh,19744702,moi dang ky
3420,Phan Thi Son ,HaNoi,848187,
3426,  vu thi long ,DaNang,13421599,VIP tiem nang
3445,Ta Thanh Ich ,DaNang,12131773,moi dang ky
3457,cao  van   uyen,HoChiMinh,18667493,khach quen
3459,hoang quoc mai,ThanhHoa,392400,VIP tiem nang
3464,  pham duc oanh ,NgheAn,683331,
3467,hoang van uyen,DaNang,4010732,VIP tiem nang
3469,  ta minh em ,DongNai,2757934,can cham soc
3478,Vu Duc An ,NgheAn,284024,
3486,TRAN VAN GIANG,DaNang,4489803,can cham soc
3490,pham huu phuong,ThanhHoa,804118,can cham soc
3500,LUU MINH MAI,HaiPhong,883878,can cham soc
3509,  vo minh viet ,NgheAn,896488,
3522,Ngo Van Em ,HaiPhong,13791343,
3532,BUI MINH QUYEN,KhanhHoa,10666708,VIP tiem nang
3535,Vo Ngoc Viet ,BinhDuong,248500,moi dang ky
3568,tran  huu   phuc,KhanhHoa,2572370,khach quen
3571,le duc cuong,ThanhHoa,486487,
3588,  do ngoc son ,HoChiMinh,835002,
3598,PHAM THANH BINH,KhanhHoa,5392057,VIP tiem nang
3615,Dang Ngoc Cuong ,HaiPhong,3670015,khach quen
3617,luu  huu   uyen,KhanhHoa,2611831,
3632,ngo  minh   giang,KhanhHoa,205389,VIP tiem nang
3643,do van dung,DongNai,331065,khach quen
3645,Vu Duc Xuan ,CanTho,384845,VIP tiem nang
3658,  trinh van quyen ,KhanhHoa,3129266,
3663,Do Ngoc Son ,DaNang,3380050,
3666,  nguyen quoc binh ,DongNai,721148,
3667,  pham huu dung ,HaiPhong,2629862,
3679,Ta Van Giang ,DaNang,4113534,moi dang ky
3689,ngo  duc   cuong,ThanhHoa,898235,moi dang ky
3700,ly duc uyen,HaNoi,862703,
3705,PHAN THANH PHUC,BinhDuong,313355,
3717,bui  ngoc   uyen,KhanhHoa,367253,
3718,cao quoc xuan,HoChiMinh,242152,can cham soc
3725,ngo  thi   nam,ThanhHoa,1313423,
3735,luu  quoc   phuc,ThanhHoa,335478,
3760,vo thanh yen,KhanhHoa,456768,VIP tiem nang
3768,  do duc cuong ,NgheAn,876402,
3769,DO VAN SON,BinhDuong,715634,
3776,Bui Quoc Xuan ,KhanhHoa,9533700,VIP tiem nang
3779,ngo  huu   uyen,KhanhHoa,779986,
3785,vu  van   quyen,HoChiMinh,8246567,VIP tiem nang
3802,TRINH MINH LONG,HoChiMinh,12584024,moi dang ky
3803,  luu van xuan ,DongNai,3485267,VIP tiem nang
3828,ta  quoc   cuong,DongNai,2531159,VIP tiem nang
3844,le ngoc yen,DongNai,477388,khach quen
3856,dang ngoc tam,HaNoi,16990263,moi dang ky
3873,Pham Huu Uyen ,CanTho,411872,khach quen
3877,trinh  quoc   em,CanTho,3095084,
3884,dang thi nam,CanTho,1972504,
3888,TRINH VAN CUONG,HaNoi,608323,can cham soc
3891,DO THANH DUNG,HoChiMinh,388107,
3903,TRINH THI BINH,DongNai,2555061,
3911,Do Minh Son ,DaNang,451911,khach quen
3914,trinh ngoc xuan,KhanhHoa,2197163,can cham soc
3928,Phan Duc Ich ,BinhDuong,479962,can cham soc
3934,  vo thi hoa ,HaNoi,10667963,
3964,DUONG THI LONG,HaNoi,394791,moi dang ky
3965,  vo van nam ,DongNai,438934,moi dang ky
3977,luu  quoc   binh,BinhDuong,6774570,moi dang ky
3978,VU DUC BINH,BinhDuong,727180,can cham soc
3985,  nguyen quoc tam ,HaNoi,670577,
3986,cao minh phuong,KhanhHoa,1399342,can cham soc
4001,LE NGOC EM,NgheAn,593568,VIP tiem nang
4005,NGO NGOC ICH,NgheAn,12691615,
4028,  hoang huu phuong ,NgheAn,3475718,
4035,NGUYEN MINH TAM,HoChiMinh,1993431,can cham soc
4036,Le Ngoc Long ,ThanhHoa,426436,moi dang ky
4043,  vu minh phuong ,ThanhHoa,2135542,khach quen
4071,HOANG HUU BINH,HaiPhong,851928,khach quen
4095,nguyen van phuong,CanTho,318225,
4099,tran ngoc an,DaNang,204374,khach quen
4100,cao quoc oanh,ThanhHoa,260177,khach quen
4102,vo duc binh,HaiPhong,596868,
4104,pham ngoc giang,DaNang,542584,moi dang ky
4116,trinh van hoa,DaNang,4416354,can cham soc
4120,PHAM DUC BINH,ThanhHoa,1266047,VIP tiem nang
4159,TRAN QUOC QUYEN,HaiPhong,583606,khach quen
4170,vo  duc   viet,ThanhHoa,2735871,
4171,Le Thi Phuc ,HaNoi,778720,can cham soc
4205,CAO DUC TAM,KhanhHoa,2159109,moi dang ky
4237,pham duc uyen,CanTho,3297464,
4259,TRINH DUC HOA,BinhDuong,853512,
4265,do  quoc   son,CanTho,3951730,
4271,  vu minh yen ,DaNang,875810,khach quen
4283,do thi mai,HaNoi,739769,
4297,HOANG THI AN,HaNoi,765470,moi dang ky
4310,luu  ngoc   ich,HoChiMinh,6705421,
4325,do  duc   yen,DongNai,1758748,khach quen
4327,LE DUC MAI,HaNoi,520303,can cham soc
4357,vu  duc   binh,HaiPhong,1551730,VIP tiem nang
4360,le  ngoc   em,NgheAn,852871,
4381,dang  duc   dung,ThanhHoa,423372,can cham soc
4384,Dang Huu Cuong ,CanTho,3738674,VIP tiem nang
4387,  vo minh quyen ,NgheAn,3872030,khach quen
4395,Le Thi Em ,NgheAn,4406816,VIP tiem nang
4401,  trinh ngoc em ,KhanhHoa,1770666,VIP tiem nang
4420,Hoang Minh Oanh ,CanTho,394904,
4455,ly  ngoc   oanh,HaNoi,635732,can cham soc
4462,  vo thi hoa ,KhanhHoa,4444169,khach quen
4464,Le Huu Oanh ,BinhDuong,1626549,moi dang ky
4469,pham quoc cuong,DongNai,4112951,
4476,  nguyen van binh ,ThanhHoa,2594667,
4479,hoang  ngoc   dung,ThanhHoa,14859444,can cham soc
4484,luu  minh   xuan,KhanhHoa,573233,khach quen
4488,cao quoc oanh,HaiPhong,2013500,
4493,BUI NGOC UYEN,BinhDuong,2946810,VIP tiem nang
4494,nguyen  thanh   binh,CanTho,11914415,VIP tiem nang
4503,Nguyen Minh Quyen ,HaiPhong,3421651,can cham soc
4510,luu minh tam,DaNang,350189,VIP tiem nang
4511,DANG QUOC XUAN,HoChiMinh,11983379,can cham soc
4517,HOANG VAN OANH,ThanhHoa,805637,khach quen
4518,pham quoc giang,DongNai,873134,VIP tiem nang
4524,Le Duc Binh ,HaNoi,838234,moi dang ky
4535,VU VAN PHUONG,HoChiMinh,805296,khach quen
4540,nguyen van tam,KhanhHoa,13281633,moi dang ky
4549,pham ngoc nam,DaNang,304417,
4556,pham quoc mai,NgheAn,865498,khach quen
4558,LE HUU XUAN,DaNang,1956039,moi dang ky
4575,bui duc xuan,KhanhHoa,763388,
4581,TRAN THANH UYEN,HoChiMinh,470811,VIP tiem nang
4583,  ngo thi hoa ,BinhDuong,2509234,khach quen
4584,Trinh Thi Em ,HaNoi,864979,khach quen
4586,  trinh van an ,ThanhHoa,327384,khach quen
4592,  trinh thi uyen ,HoChiMinh,311703,VIP tiem nang
4596,NGUYEN THI LONG,ThanhHoa,534698,VIP tiem nang
4598,  hoang van long ,KhanhHoa,213299,
4627,Pham Thanh Phuc ,KhanhHoa,2217843,
4630,  cao minh cuong ,HaiPhong,477057,can cham soc
4633,Nguyen Van Yen ,KhanhHoa,3168930,VIP tiem nang
4634,VO HUU PHUONG,HaiPhong,259786,moi dang ky
4647,Luu Ngoc Viet ,KhanhHoa,735205,khach quen
4657,  ta van yen ,KhanhHoa,4476356,khach quen
4658,vo huu phuc,BinhDuong,8343391,VIP tiem nang
4667,vo  quoc   tam,ThanhHoa,10237579,khach quen
4676,Trinh Huu Cuong ,CanTho,328364,VIP tiem nang
4683,cao  huu   hoa,DaNang,303550,can cham soc
4688,  vu thi long ,HaNoi,522783,
4693,  do quoc em ,DaNang,4160355,
4694,Tran Thanh Khanh ,HoChiMinh,600936,can cham soc
4697,LUU VAN TAM,NgheAn,1519126,VIP tiem nang
4708,hoang  thi   long,HaiPhong,1190387,moi dang ky
4714,trinh  thi   long,DongNai,3244988,khach quen
4719,HOANG MINH EM,HaNoi,3705242,khach quen
4729,phan  quoc   mai,HoChiMinh,557799,
4744,LY DUC UYEN,HoChiMinh,2635173,can cham soc
4750,NGO DUC XUAN,BinhDuong,582203,khach quen
4751,ngo van binh,HaiPhong,18328277,khach quen
4793,  bui quoc binh ,BinhDuong,482051,VIP tiem nang
4798,PHAM DUC LONG,KhanhHoa,7424603,can cham soc
4800,Le Huu Binh ,ThanhHoa,385378,
4826,do  quoc   cuong,DongNai,6007539,can cham soc
4828,tran thi an,DaNang,2765740,moi dang ky
4873,vu thi ich,HaiPhong,4100901,
4878,Dang Huu Son ,HaNoi,1772727,can cham soc
