customer_id,customer_name,customer_type
126,Bui Ich,REGULAR
127,Tran Giang,VIP
128,Le Em,REGULAR
129,Ngo An,NEW
130,Ngo Dung,NEW
131,Pham Phuong,VIP
132,Hoang Em,VIP
133,Bui Ich,NEW
134,Hoang Phuong,NEW
135,Nguyen Dung,NEW
136,Ngo Ich,REGULAR
137,Tran Cuong,NEW
138,Tran Em,VIP
139,Tran Khanh,REGULAR
140,Tran An,NEW
141,Bui An,NEW
142,Hoang Em,NEW
143,Ngo Giang,NEW
144,Nguyen Dung,NEW
145,Tran Cuong,REGULAR
146,Pham Hoa,REGULAR
147,Le Em,REGULAR
148,Ngo Giang,REGULAR
149,Ngo Khanh,VIP
150,Nguyen An,REGULAR
151,Le An,VIP
152,Ngo Ich,NEW
153,Dang An,VIP
154,Tran Hoa,VIP
155,Hoang Khanh,REGULAR
156,Le Dung,VIP
157,Tran Cuong,REGULAR
158,Le Khanh,NEW
159,Tran Khanh,VIP
160,Do Dung,REGULAR
161,Do Ich,NEW
162,Ngo Khanh,REGULAR
163,Tran Em,NEW
164,Ngo Binh,NEW
165,Le Binh,NEW
166,Dang Phuong,REGULAR
167,Pham Ich,VIP
168,Vu Binh,NEW
169,Pham Cuong,VIP
170,Dang Hoa,REGULAR
171,Le Ich,NEW
172,Pham Phuong,REGULAR
173,Ngo Khanh,REGULAR
174,Le Cuong,REGULAR
175,Do Phuong,NEW
176,Nguyen An,VIP
177,Nguyen Cuong,VIP
178,Vu Dung,VIP
179,Vu Em,REGULAR
180,Dang Hoa,REGULAR
181,Dang Ich,NEW
182,Dang Giang,NEW
183,Nguyen Cuong,NEW
184,Tran An,REGULAR
185,Vu Cuong,REGULAR
186,Vu Giang,NEW
187,Le Giang,VIP
188,Le Ich,VIP
189,Do Ich,NEW
190,Ngo Khanh,NEW
191,Do Giang,NEW
192,Le Khanh,VIP
193,Dang Phuong,NEW
194,Le An,VIP
195,Hoang Ich,REGULAR
196,Bui Hoa,VIP
197,Nguyen Giang,NEW
198,Tran Em,REGULAR
199,Tran An,NEW
200,Ngo Dung,VIP
